"EDGE_TYPE","FI Annotation","FI Direction","FI Score","interaction","name","selected","shared interaction","shared name"
"FI","activated by; complex; input","<-","1.0",,"NBN (FI) RFC2","true",,"NBN (FI) RFC2"
"FI","PPrel: activated by; activated by","<-","1.0",,"CPB2 (FI) F2","true",,"CPB2 (FI) F2"
"FI","complex; input; reaction","-","1.0",,"C8A (FI) CLU","true",,"C8A (FI) CLU"
"FI","predicted","-","0.91",,"TACC2 (FI) TUBB4B","true",,"TACC2 (FI) TUBB4B"
"FI","predicted","-","0.96",,"CHD4 (FI) SIN3A","true",,"CHD4 (FI) SIN3A"
"FI","activated by; complex; input","<-","1.0",,"NOP58 (FI) WDR75","true",,"NOP58 (FI) WDR75"
"FI","PPrel: activation; activated by; catalyze; inhibit; input","<-","1.0",,"F2 (FI) FGG","true",,"F2 (FI) FGG"
"FI","complex; input","-","1.0",,"NUP107 (FI) NUP54","true",,"NUP107 (FI) NUP54"
"FI","complex; input","-","1.0",,"PUF60 (FI) SNRNP200","true",,"PUF60 (FI) SNRNP200"
"FI","complex; input","-","1.0",,"PRPF8 (FI) SF3B3","true",,"PRPF8 (FI) SF3B3"
"FI","catalyze","->","1.0",,"EXOSC2 (FI) UTP6","true",,"EXOSC2 (FI) UTP6"
"FI","activated by","<-","1.0",,"FIP1L1 (FI) NUP62","true",,"FIP1L1 (FI) NUP62"
"FI","complex","-","1.0",,"PDCD11 (FI) RRP9","true",,"PDCD11 (FI) RRP9"
"FI","PPrel: activation; activated by; catalyze; inhibit; input","<-","1.0",,"F2 (FI) FGA","true",,"F2 (FI) FGA"
"FI","PPrel: activation; activated by; catalyze; inhibit; reaction","<-","1.0",,"F2 (FI) FGB","true",,"F2 (FI) FGB"
"FI","activated by; complex; input","<-","1.0",,"NOP56 (FI) WDR43","true",,"NOP56 (FI) WDR43"
"FI","activated by","<-","1.0",,"DIMT1 (FI) PNO1","true",,"DIMT1 (FI) PNO1"
"FI","predicted","-","0.94",,"HSP90AA1 (FI) SIN3A","true",,"HSP90AA1 (FI) SIN3A"
"FI","complex; input","-","1.0",,"NUP107 (FI) NUP62","true",,"NUP107 (FI) NUP62"
"FI","predicted","-","0.95",,"NOP56 (FI) RPL7A","true",,"NOP56 (FI) RPL7A"
"FI","input","-","1.0",,"CARM1 (FI) SIN3B","true",,"CARM1 (FI) SIN3B"
"FI","input","-","1.0",,"CARM1 (FI) SIN3A","true",,"CARM1 (FI) SIN3A"
"FI","complex; input","-","1.0",,"CUL4B (FI) USP7","true",,"CUL4B (FI) USP7"
"FI","predicted","-","0.91",,"MYH7 (FI) MYOM2","false",,"MYH7 (FI) MYOM2"
"FI","activate","->","1.0",,"RBM28 (FI) WDR43","true",,"RBM28 (FI) WDR43"
"FI","activated by","<-","1.0",,"FIP1L1 (FI) NUP107","true",,"FIP1L1 (FI) NUP107"
"FI","PPrel: binding/association; complex; input","-","1.0",,"TUBA1B (FI) TUBB4A","true",,"TUBA1B (FI) TUBB4A"
"FI","complex; input","-","1.0",,"NUP107 (FI) PDS5A","true",,"NUP107 (FI) PDS5A"
"FI","PPrel: binding/association; complex; input","-","1.0",,"TUBA1B (FI) TUBB4B","true",,"TUBA1B (FI) TUBB4B"
"FI","activated by; complex; input","<-","1.0",,"NOP56 (FI) WDR75","true",,"NOP56 (FI) WDR75"
"FI","activate; input","->","1.0",,"NUP88 (FI) THOC2","true",,"NUP88 (FI) THOC2"
"FI","activated by; complex; input","<-","1.0",,"EMG1 (FI) WDR43","true",,"EMG1 (FI) WDR43"
"FI","activate; inhibited by","|->","1.0",,"FGG (FI) SERPIND1","true",,"FGG (FI) SERPIND1"
"FI","complex; input","-","1.0",,"C8B (FI) VTN","true",,"C8B (FI) VTN"
"FI","predicted","-","0.95",,"ITGAM (FI) ITGAX","true",,"ITGAM (FI) ITGAX"
"FI","predicted","-","0.91",,"MYBBP1A (FI) RBM28","true",,"MYBBP1A (FI) RBM28"
"FI","complex","-","1.0",,"ITGAM (FI) ITGB7","true",,"ITGAM (FI) ITGB7"
"FI","catalyze; complex; input","->","1.0",,"HNRNPC (FI) SF3B3","true",,"HNRNPC (FI) SF3B3"
"FI","complex; input","-","1.0",,"DDX46 (FI) PRPF8","true",,"DDX46 (FI) PRPF8"
"FI","complex; input","-","1.0",,"DDX46 (FI) PRPF6","true",,"DDX46 (FI) PRPF6"
"FI","complex; input","-","1.0",,"HNRNPC (FI) SNRNP200","true",,"HNRNPC (FI) SNRNP200"
"FI","predicted","-","0.9",,"ITGAM (FI) ITGB3","true",,"ITGAM (FI) ITGB3"
"FI","complex; input","-","1.0",,"DDX46 (FI) PRPF3","true",,"DDX46 (FI) PRPF3"
"FI","PPrel: inhibited by","|-","1.0",,"MASP2 (FI) SERPING1","true",,"MASP2 (FI) SERPING1"
"FI","complex; input","-","1.0",,"PRPF3 (FI) PUF60","true",,"PRPF3 (FI) PUF60"
"FI","complex; input","-","1.0",,"PRPF6 (FI) SF3B3","true",,"PRPF6 (FI) SF3B3"
"FI","activate","->","1.0",,"BOP1 (FI) UTP15","true",,"BOP1 (FI) UTP15"
"FI","activated by","<-","1.0",,"FIP1L1 (FI) NUP88","true",,"FIP1L1 (FI) NUP88"
"FI","predicted","-","0.96",,"HSP90AA1 (FI) TCP1","true",,"HSP90AA1 (FI) TCP1"
"FI","activate; input","->","1.0",,"NUP35 (FI) THOC2","true",,"NUP35 (FI) THOC2"
"FI","complex; input","-","1.0",,"POLR2B (FI) SNRNP200","true",,"POLR2B (FI) SNRNP200"
"FI","predicted","-","0.93",,"NOP56 (FI) PA2G4","true",,"NOP56 (FI) PA2G4"
"FI","PPrel: activation","->","1.0",,"F12 (FI) PLG","true",,"F12 (FI) PLG"
"FI","predicted","-","0.97",,"PRPF3 (FI) SART3","true",,"PRPF3 (FI) SART3"
"FI","activated by; complex; input","<-","1.0",,"UTP14A (FI) UTP15","true",,"UTP14A (FI) UTP15"
"FI","predicted","-","0.92",,"CHD4 (FI) SMARCA5","true",,"CHD4 (FI) SMARCA5"
"FI","activated by; complex; input","<-","1.0",,"NOP58 (FI) WDR43","true",,"NOP58 (FI) WDR43"
"FI","activated by","<-","1.0",,"FIP1L1 (FI) NUP93","true",,"FIP1L1 (FI) NUP93"
"FI","complex; input","-","1.0",,"NUP107 (FI) NUP88","true",,"NUP107 (FI) NUP88"
"FI","predicted","-","0.89",,"PDCD11 (FI) RRS1","true",,"PDCD11 (FI) RRS1"
"FI","complex; input","-","1.0",,"DDX5 (FI) PRMT1","true",,"DDX5 (FI) PRMT1"
"FI","activated by","<-","1.0",,"FIP1L1 (FI) NUP98","true",,"FIP1L1 (FI) NUP98"
"FI","complex; input","-","1.0",,"LAMA4 (FI) NID2","true",,"LAMA4 (FI) NID2"
"FI","predicted","-","0.98",,"CHD4 (FI) SMARCA1","true",,"CHD4 (FI) SMARCA1"
"FI","complex","-","1.0",,"C4BPA (FI) C4BPB","true",,"C4BPA (FI) C4BPB"
"FI","predicted","-","0.98",,"PPA1 (FI) PPA2","false",,"PPA1 (FI) PPA2"
"FI","PPrel: activation; complex; input","->","1.0",,"FN1 (FI) ITGAM","true",,"FN1 (FI) ITGAM"
"FI","complex; input","-","1.0",,"NUP153 (FI) NUP54","true",,"NUP153 (FI) NUP54"
"FI","complex; input","-","1.0",,"NUP54 (FI) NUP98","true",,"NUP54 (FI) NUP98"
"FI","catalyze; complex; input","->","1.0",,"DAP3 (FI) MRPL43","true",,"DAP3 (FI) MRPL43"
"FI","catalyze; complex; input","->","1.0",,"HNRNPC (FI) SNRPA1","true",,"HNRNPC (FI) SNRPA1"
"FI","complex; input","-","1.0",,"NUP54 (FI) NUP93","true",,"NUP54 (FI) NUP93"
"FI","catalyze; complex; input","->","1.0",,"DAP3 (FI) MRPL46","true",,"DAP3 (FI) MRPL46"
"FI","complex; input","-","1.0",,"TBCD (FI) TUBB4A","true",,"TBCD (FI) TUBB4A"
"FI","PPrel: activation; complex; input; reaction","->","1.0",,"FN1 (FI) ITGB3","true",,"FN1 (FI) ITGB3"
"FI","complex; input","-","1.0",,"TBCD (FI) TUBB4B","true",,"TBCD (FI) TUBB4B"
"FI","complex; input","-","1.0",,"DHX9 (FI) SMU1","true",,"DHX9 (FI) SMU1"
"FI","catalyzed by; complex; input","<-","1.0",,"MRPL38 (FI) MRPS17","true",,"MRPL38 (FI) MRPS17"
"FI","complex; input","-","1.0",,"CDK7 (FI) RFC2","true",,"CDK7 (FI) RFC2"
"FI","catalyzed by; input","<-","1.0",,"CDC5L (FI) SMU1","true",,"CDC5L (FI) SMU1"
"FI","complex; input","-","1.0",,"DDX46 (FI) EFTUD2","true",,"DDX46 (FI) EFTUD2"
"FI","catalyzed by; complex; input","<-","1.0",,"MRPL9 (FI) MRPS18B","true",,"MRPL9 (FI) MRPS18B"
"FI","predicted","-","0.97",,"MCM6 (FI) SSRP1","true",,"MCM6 (FI) SSRP1"
"FI","PPrel: activation; complex; input","->","1.0",,"FN1 (FI) ITGAX","true",,"FN1 (FI) ITGAX"
"FI","PPrel: activation; complex; input","->","1.0",,"FN1 (FI) ITGB7","true",,"FN1 (FI) ITGB7"
"FI","complex","-","1.0",,"NOP58 (FI) PDCD11","true",,"NOP58 (FI) PDCD11"
"FI","complex; input","-","1.0",,"DDX21 (FI) SMARCA5","true",,"DDX21 (FI) SMARCA5"
"FI","complex; input","-","1.0",,"NUP153 (FI) NUP43","true",,"NUP153 (FI) NUP43"
"FI","predicted","-","0.94",,"ILF2 (FI) XRCC6","true",,"ILF2 (FI) XRCC6"
"FI","complex","-","1.0",,"MPHOSPH10 (FI) PWP2","true",,"MPHOSPH10 (FI) PWP2"
"FI","catalyzed by; complex; input","<-","1.0",,"PLRG1 (FI) SNRNP200","true",,"PLRG1 (FI) SNRNP200"
"FI","complex","-","1.0",,"RRP9 (FI) UTP6","true",,"RRP9 (FI) UTP6"
"FI","complex; input","-","1.0",,"NUP54 (FI) NUP88","true",,"NUP54 (FI) NUP88"
"FI","predicted","-","0.92",,"DDX21 (FI) SMARCA1","true",,"DDX21 (FI) SMARCA1"
"FI","catalyze; complex; input","->","1.0",,"POLR2B (FI) SF3B3","true",,"POLR2B (FI) SF3B3"
